date,nav,acc_nav
2023-12-27,1.0472,1.0472
2023-12-28,1.0607,1.0607
2023-12-29,1.0857,1.0857
2023-12-31,1.0856,1.0856
2024-01-02,1.0587,1.0587
2024-01-03,1.034,1.034
2024-01-04,1.0206,1.0206
2024-01-05,1.0061,1.0061
2024-01-08,0.9786,0.9786
2024-01-09,0.9904,0.9904
2024-01-10,0.9764,0.9764
2024-01-11,0.9915,0.9915
2024-01-12,0.9783,0.9783
2024-01-15,0.9707,0.9707
2024-01-16,0.9712,0.9712
2024-01-17,0.9372,0.9372
2024-01-18,0.9463,0.9463
2024-01-19,0.9314,0.9314
2024-01-22,0.8906,0.8906
2024-01-23,0.9038,0.9038
2024-01-24,0.9042,0.9042
2024-01-25,0.9031,0.9031
2024-01-26,0.8829,0.8829
2024-01-29,0.8584,0.8584
2024-01-30,0.8523,0.8523
2024-01-31,0.8319,0.8319
2024-02-01,0.8416,0.8416
2024-02-02,0.8187,0.8187
2024-02-05,0.7897,0.7897
2024-02-06,0.8347,0.8347
2024-02-07,0.8529,0.8529
2024-02-08,0.887,0.887
2024-02-19,0.887,0.887
2024-02-20,0.9051,0.9051
2024-02-21,0.9075,0.9075
2024-02-22,0.9235,0.9235
2024-02-23,0.9674,0.9674
2024-02-26,0.991,0.991
2024-02-27,1.0232,1.0232
2024-02-28,0.9529,0.9529
2024-02-29,0.9982,0.9982
2024-03-01,1.0141,1.0141
2024-03-04,1.0293,1.0293
2024-03-05,1.0041,1.0041
2024-03-06,1.0259,1.0259
2024-03-07,0.9997,0.9997
2024-03-08,1.0124,1.0124
2024-03-11,1.0248,1.0248
2024-03-12,1.0399,1.0399
2024-03-13,1.048,1.048
2024-03-14,1.0468,1.0468
2024-03-15,1.0749,1.0749
2024-03-18,1.0832,1.0832
2024-03-19,1.062,1.062
2024-03-20,1.0546,1.0546
2024-03-21,1.0478,1.0478
2024-03-22,1.0434,1.0434
2024-03-25,1.0083,1.0083
2024-03-26,0.9959,0.9959
2024-03-27,0.9561,0.9561
2024-03-28,0.9951,0.9951
2024-03-29,0.9995,0.9995
2024-04-01,1.0126,1.0126
2024-04-02,0.9863,0.9863
2024-04-03,0.9562,0.9562
2024-04-08,0.9359,0.9359
2024-04-09,0.9506,0.9506
2024-04-10,0.9328,0.9328
2024-04-11,0.927,0.927
2024-04-12,0.9138,0.9138
2024-04-15,0.8979,0.8979
2024-04-16,0.8528,0.8528
2024-04-17,0.891,0.891
2024-04-18,0.9163,0.9163
2024-04-19,0.8969,0.8969
2024-04-22,0.889,0.889
2024-04-23,0.9293,0.9293
2024-04-24,0.951,0.951
2024-04-25,0.9424,0.9424
2024-04-26,0.97,0.97
2024-04-29,0.9922,0.9922
2024-04-30,0.9793,0.9793
2024-05-06,1.0016,1.0016
2024-05-07,1.0008,1.0008
2024-05-08,0.9678,0.9678
2024-05-09,0.971,0.971
2024-05-10,0.9527,0.9527
2024-05-13,0.9284,0.9284
2024-05-14,0.939,0.939
2024-05-15,0.9287,0.9287
2024-05-16,0.9346,0.9346
2024-05-17,0.9521,0.9521
2024-05-20,0.9605,0.9605
2024-05-21,0.9406,0.9406
2024-05-22,0.9598,0.9598
2024-05-23,0.945,0.945
2024-05-24,0.9093,0.9093
2024-05-27,0.9136,0.9136
2024-05-28,0.9071,0.9071
2024-05-29,0.9069,0.9069
2024-05-30,0.9256,0.9256
2024-05-31,0.9561,0.9561
2024-06-03,0.9707,0.9707
2024-06-04,0.9602,0.9602
2024-06-05,0.9598,0.9598
2024-06-06,0.9254,0.9254
2024-06-07,0.9202,0.9202
2024-06-11,0.9306,0.9306
2024-06-12,0.9403,0.9403
2024-06-13,0.9685,0.9685
2024-06-14,0.9196,0.9196
2024-06-17,0.9056,0.9056
2024-06-18,0.925,0.925
2024-06-19,0.9039,0.9039
2024-06-20,0.8762,0.8762
2024-06-21,0.8725,0.8725
2024-06-24,0.8343,0.8343
2024-06-25,0.8347,0.8347
2024-06-26,0.8485,0.8485
2024-06-27,0.8264,0.8264
2024-06-28,0.8343,0.8343
2024-06-30,0.8343,0.8343
2024-07-01,0.8282,0.8282
2024-07-02,0.8229,0.8229
2024-07-03,0.8121,0.8121
2024-07-04,0.8162,0.8162
2024-07-05,0.7992,0.7992
2024-07-08,0.7715,0.7715
2024-07-09,0.7957,0.7957
2024-07-10,0.7988,0.7988
2024-07-11,0.8153,0.8153
2024-07-12,0.8018,0.8018
2024-07-15,0.7844,0.7844
2024-07-16,0.7929,0.7929
2024-07-17,0.7716,0.7716
2024-07-18,0.7692,0.7692
2024-07-19,0.7763,0.7763
2024-07-22,0.7803,0.7803
2024-07-23,0.7569,0.7569
2024-07-24,0.7333,0.7333
2024-07-25,0.7295,0.7295
2024-07-26,0.7483,0.7483
2024-07-29,0.7396,0.7396
2024-07-30,0.7537,0.7537
2024-07-31,0.8107,0.8107
2024-08-01,0.8118,0.8118
2024-08-02,0.7868,0.7868
2024-08-05,0.7724,0.7724
2024-08-06,0.787,0.787
2024-08-07,0.783,0.783
2024-08-08,0.7618,0.7618
2024-08-09,0.7533,0.7533
2024-08-12,0.7439,0.7439
2024-08-13,0.7519,0.7519
2024-08-14,0.7498,0.7498
2024-08-15,0.7724,0.7724
2024-08-16,0.7742,0.7742
2024-08-19,0.7601,0.7601
2024-08-20,0.7542,0.7542
2024-08-21,0.7505,0.7505
2024-08-22,0.7182,0.7182
2024-08-23,0.7102,0.7102
2024-08-26,0.7078,0.7078
2024-08-27,0.6949,0.6949
2024-08-28,0.7079,0.7079
2024-08-29,0.7355,0.7355
2024-08-30,0.747,0.747
2024-09-02,0.7162,0.7162
2024-09-03,0.7376,0.7376
2024-09-04,0.7405,0.7405
2024-09-05,0.7529,0.7529
2024-09-06,0.74,0.74
2024-09-09,0.7396,0.7396
2024-09-10,0.7453,0.7453
2024-09-11,0.7481,0.7481
2024-09-12,0.7342,0.7342
2024-09-13,0.7191,0.7191
2024-09-18,0.7223,0.7223
2024-09-19,0.7385,0.7385
2024-09-20,0.7308,0.7308
2024-09-23,0.7233,0.7233
2024-09-24,0.7603,0.7603
2024-09-25,0.7572,0.7572
2024-09-26,0.8161,0.8161
2024-09-27,0.8617,0.8617
2024-09-30,0.9551,0.9551
2024-10-08,1.0594,1.0594
2024-10-09,0.9942,0.9942
2024-10-10,0.9605,0.9605
2024-10-11,0.8948,0.8948
2024-10-14,0.9189,0.9189
2024-10-15,0.8984,0.8984
2024-10-16,0.8931,0.8931
2024-10-17,0.9011,0.9011
2024-10-18,0.9557,0.9557
2024-10-21,0.9562,0.9562
